,Position,Track Name,Artist,Streams
130,131,Without Me,Halsey,6254565
131,132,Ayy Macarena,Tyga,6230619
132,133,Whine Up,Nicky Jam,6218531
133,134,Wow.,Post Malone,6177408
134,135,Definitivamente,Daddy Yankee,6065442
135,136,Shape of You,Ed Sheeran,6060192
136,137,Ransom,Lil Tecca,6051424
137,138,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,6044996
138,139,Get You The Moon (feat. Snøw),Kina,6019832
139,140,Say You Won't Let Go,James Arthur,6019724
140,141,Boy With Luv (feat. Halsey),BTS,6007001
141,142,ocean eyes,Billie Eilish,5941619
142,143,Girl,Myke Towers,5921303
143,144,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,5915080
144,145,Filter,BTS,5913946
145,146,Money In The Grave (Drake ft. Rick Ross),Drake,5832906
146,147,Lights Up,Harry Styles,5788003
147,148,Good as Hell (feat. Ariana Grande),Lizzo,5787824
148,149,Dancing With A Stranger (with Normani),Sam Smith,5774259
149,150,Robbery,Juice WRLD,5767924
150,151,Matrix,Apache 207,5724739
151,152,Bellaquita - Remix,Dalex,5676621
152,153,Modern Loneliness,Lauv,5669590
153,154,SAD!,XXXTENTACION,5640638
154,155,SICKO MODE,Travis Scott,5640377
155,156,Jocelyn Flores,XXXTENTACION,5606144
156,157,Aventura,Lunay,5567894
157,158,Maniac,Conan Gray,5556968
158,159,Perfect,Ed Sheeran,5541235
159,160,Piece Of Your Heart,MEDUZA,5500516
160,161,Eastside (with Halsey & Khalid),benny blanco,5494016
161,162,Infeliz,Arcangel,5490386
162,163,July,Noah Cyrus,5490155
163,164,Girls Like You (feat. Cardi B),Maroon 5,5454877
164,165,VIBEZ,DaBaby,5443050
165,166,Adicto (with Anuel AA & Ozuna),Tainy,5442250
166,167,Que Tire Pa Lante,Daddy Yankee,5436773
167,168,Sweet but Psycho,Ava Max,5389356
168,169,Futsal Shuffle 2020,Lil Uzi Vert,5386512
169,170,I Like Me Better,Lauv,5366798
170,171,PTSD,G Herbo,5347070
171,172,Can We Kiss Forever?,Kina,5330081
172,173,goosebumps,Travis Scott,5329586
173,174,Old Me,5 Seconds of Summer,5329464
174,175,No Judgement,Niall Horan,5322433
175,176,"thank u, next",Ariana Grande,5296276
176,177,GOODMORNINGTOKYO!,TOKYO’S REVENGE,5286044
177,178,Dior,Pop Smoke,5275537
178,179,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,5273046
179,180,Boss Bitch,Doja Cat,5271564
180,181,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,5260351
181,182,My Time,BTS,5212053
182,183,Higher Love,Kygo,5210344
183,184,100k Cash,Capital Bra,5192813
184,185,Drown (feat. Clinton Kane),Martin Garrix,5186141
185,186,me & ur ghost,blackbear,5184069
186,187,All of Me,John Legend,5182314
187,188,Better Now,Post Malone,5141208
188,189,QUE PRETENDES,J Balvin,5141047
189,190,Starboy,The Weeknd,5137462
190,191,You Need To Calm Down,Taylor Swift,5115153
191,192,Quizas,Rich Music LTD,5112244
192,193,Hate Me (with Juice WRLD),Ellie Goulding,5087470
193,194,Soltera - Remix,Lunay,5078459
194,195,Trampoline (with ZAYN),SHAED,5075520
195,196,Truth Hurts,Lizzo,5024683
196,197,bury a friend,Billie Eilish,5020303
197,198,I.F.L.Y.,Bazzi,5002595
198,199,Moonlight,XXXTENTACION,4982070
199,200,Takeaway,The Chainsmokers,4966053
0,1,Blinding Lights,The Weeknd,41066317
1,2,The Box,Roddy Ricch,37470185
2,3,Dance Monkey,Tones And I,36071262
3,4,Don't Start Now,Dua Lipa,32169572
4,5,La Difícil,Bad Bunny,29598307
5,6,Intentions (feat. Quavo),Justin Bieber,27261529
6,7,Si Veo a Tu Mamá,Bad Bunny,25902740
7,8,Say So,Doja Cat,25693166
8,9,Tusa,KAROL G,25559126
9,10,Ignorantes,Bad Bunny,24557120
10,11,Falling,Trevor Daniel,24350925
11,12,ROXANNE,Arizona Zervas,22926539
12,13,Safaera,Bad Bunny,22902153
13,14,Circles,Post Malone,19990944
14,15,Baby Pluto,Lil Uzi Vert,19868123
15,16,That Way - Bonus Track,Lil Uzi Vert,19179897
16,17,La Santa,Bad Bunny,18935957
17,18,Someone You Loved,Lewis Capaldi,18934696
18,19,Roses - Imanbek Remix,SAINt JHN,18241624
19,20,Blueberry Faygo,Lil Mosey,18207525
20,21,P2,Lil Uzi Vert,18179065
21,22,death bed (coffee for your head),Powfu,18052083
22,23,Godzilla (feat. Juice WRLD),Eminem,18003591
23,24,Sunday Best,Surfaces,17775498
24,25,Yummy,Justin Bieber,17419811
25,26,Vete,Bad Bunny,17198611
26,27,Memories,Maroon 5,17048480
27,28,Life Is Good (feat. Drake),Future,16868529
28,29,Stupid Love,Lady Gaga,16190908
29,30,Adore You,Harry Styles,16183348
30,31,Lo Mein,Lil Uzi Vert,16121763
31,32,everything i wanted,Billie Eilish,15786729
32,33,No Time To Die,Billie Eilish,15278508
33,34,bad guy,Billie Eilish,15152307
34,35,Yo Perreo Sola,Bad Bunny,15042972
35,36,Silly Watch,Lil Uzi Vert,14661790
36,37,Physical,Dua Lipa,14457363
37,38,Rojo,J Balvin,14266798
38,39,Before You Go,Lewis Capaldi,14065736
39,40,Señorita,Shawn Mendes,14021665
40,41,After Hours,The Weeknd,13857009
41,42,You should be sad,Halsey,13776499
42,43,Sigues Con El,Dímelo Flow,13400960
43,44,Pero Ya No,Bad Bunny,13005967
44,45,RITMO (Bad Boys For Life),Black Eyed Peas,12970153
